Time (s),Voltage (V),Current (mA)
0.0155,0.4851,6.680374
0.2207,0.504,4.045327
0.4255,0.5156,2.540654
0.6294,0.5291,1.98972
0.8313,0.5395,1.684579
1.0362,0.5492,1.504673
1.242,0.5609,1.376168
1.446,0.5718,1.256075
1.6501,0.578,1.178972
1.8545,0.5926,1.099065
2.0563,0.6006,1.073364
2.2618,0.6122,1.02757
2.4666,0.6213,1.016355
2.6698,0.6311,0.964953
2.8752,0.6427,0.882243
3.0776,0.6531,0.882243
3.2816,0.6647,0.873832
3.4859,0.6733,0.850935
3.6904,0.683,0.867757
3.895,0.6934,0.776636
4.0991,0.7032,0.785047
4.3008,0.7142,0.802336
4.5057,0.7203,0.782243
4.711,0.7331,0.76215
4.9143,0.7441,0.728037
5.1196,0.7564,0.699533
5.3235,0.7667,0.753738
5.5261,0.7753,0.702336
5.7293,0.7826,0.707944
5.9355,0.7961,0.682243
6.1398,0.8071,0.63972
6.3438,0.8162,0.68785
6.5453,0.8266,0.659346
6.7492,0.8346,0.68785
6.955,0.8462,0.671028
7.1602,0.8572,0.579439
7.3641,0.8651,0.619626
7.5684,0.8779,0.63972
7.7699,0.8871,0.642523
7.9748,0.8963,0.619626
8.1798,0.9085,0.548131
8.3844,0.9195,0.576636
8.5886,0.9311,0.60514
8.793,0.9402,0.599533
8.9947,0.9464,0.596729
9.2001,0.961,0.519626
9.4042,0.9702,0.533645
9.6083,0.9806,0.585047
9.8135,0.9879,0.591121
10.0179,0.9983,0.591121
10.075,0.9989,0.545327
10.279,0.9885,0.459813
10.4807,0.9812,0.402336
10.6825,0.9684,0.379907
10.8816,0.9629,0.350935
11.0869,0.9494,0.376636
11.2888,0.9384,0.373832
11.4892,0.9286,0.399533
11.6931,0.9183,0.365421
11.8943,0.9091,0.342523
12.0957,0.8969,0.345327
12.2984,0.8871,0.350935
12.5007,0.8779,0.350935
12.7016,0.8663,0.314019
12.9053,0.8608,0.268224
13.1072,0.8492,0.277103
13.3081,0.8388,0.291121
13.5112,0.8291,0.302804
13.7131,0.8156,0.314019
13.9139,0.8065,0.291121
14.1176,0.7961,0.291121
14.3186,0.7869,0.299533
14.5205,0.7765,0.302804
14.7237,0.7674,0.288318
14.9248,0.7588,0.257009
15.1265,0.7484,0.225701
15.3297,0.7362,0.231308
15.5314,0.7307,0.231308
15.7329,0.716,0.257009
15.9357,0.7063,0.279907
16.1376,0.6965,0.254206
16.3386,0.6867,0.257009
16.5397,0.6757,0.254206
16.7434,0.6659,0.259813
16.9452,0.6586,0.254206
17.1457,0.6476,0.231308
17.3496,0.6372,0.216822
17.5513,0.6293,0.193925
17.754,0.6171,0.225701
17.956,0.6048,0.228505
18.1568,0.5981,0.228505
18.3584,0.5853,0.216822
18.5616,0.5743,0.208411
18.7632,0.5645,0.202804
18.9645,0.5535,0.216822
19.1681,0.5437,0.202804
19.3695,0.5334,0.191121
19.5706,0.5266,0.171495
19.7739,0.515,0.185514
19.9755,0.5046,0.171495
20.1769,0.4924,0.193925
20.3801,0.4839,0.205607
20.582,0.4759,0.179907
20.7826,0.4649,0.191121
20.9863,0.4545,0.171495
21.1871,0.4429,0.177103
21.3892,0.4338,0.174299
21.5921,0.4222,0.142523
21.7943,0.4136,0.116822
21.9955,0.402,0.105607
22.1946,0.3953,0.094393
22.4006,0.3831,0.1
22.6017,0.3721,0.077103
22.8041,0.3623,0.057009
23.0063,0.3501,0.025701
23.2073,0.3415,-0.036916
23.4086,0.333,-0.065888
23.6125,0.3226,-0.120093
23.8138,0.3128,-0.228505
24.0141,0.3055,-0.325234
24.2179,0.2939,-0.425234
24.42,0.2847,-0.545327
24.621,0.2707,-0.659346
24.8239,0.2621,-0.72243
25.0257,0.2511,-0.799533
25.2271,0.2444,-0.882243
25.4305,0.2309,-0.947664
25.6319,0.2212,-0.982243
25.8332,0.2126,-0.990654
26.0364,0.2022,-1.007944
26.2383,0.1924,-1.021963
26.4392,0.1839,-1.016355
26.643,0.1735,-0.996262
26.8445,0.1607,-0.982243
27.0454,0.1527,-0.967757
27.249,0.1417,-0.936449
27.4501,0.135,-0.919159
27.6517,0.1216,-0.907944
27.8543,0.1106,-0.882243
28.0567,0.1026,-0.864953
28.258,0.0929,-0.864953
28.4577,0.0813,-0.848131
28.6626,0.0739,-0.84486
28.8636,0.0623,-0.825234
29.0672,0.0525,-0.796729
29.2686,0.0409,-0.779439
29.4704,0.0318,-0.756542
29.6711,0.025,-0.756542
29.8739,0.011,-0.753738
30.0764,0.0006,-0.742056
30.1528,0.0018,-0.707944
30.359,0.0122,-0.636449
30.5641,0.0226,-0.616822
30.7686,0.0318,-0.565421
30.9723,0.0422,-0.553738
31.1771,0.0532,-0.533645
31.3786,0.0623,-0.507944
31.5834,0.0751,-0.511215
31.789,0.0825,-0.48271
31.9917,0.0898,-0.459813
32.1974,0.1045,-0.445327
32.4015,0.113,-0.428037
32.6036,0.1246,-0.425234
32.8083,0.1338,-0.393925
33.013,0.1436,-0.38271
33.2174,0.1533,-0.345327
33.422,0.165,-0.308411
33.626,0.1735,-0.314019
33.8283,0.1827,-0.28271
34.033,0.1961,-0.214019
34.2374,0.2047,-0.179907
34.442,0.2144,-0.094393
34.6463,0.2261,-0.074299
34.8475,0.2346,0.002804
35.0518,0.245,0.13972
35.2578,0.2548,0.245327
35.4621,0.2639,0.357009
35.6664,0.2737,0.473832
35.8707,0.2865,0.556542
36.0728,0.2951,0.665421
36.2775,0.3055,0.793458
36.4825,0.3128,0.84486
36.6865,0.3256,0.856542
36.8905,0.3372,0.893458
37.0952,0.3476,0.896262
37.2975,0.355,0.896262
37.5024,0.3653,0.913551
37.7073,0.377,0.848131
37.9107,0.388,0.825234
38.1149,0.3971,0.813551
38.3202,0.4069,0.80514
38.5216,0.4167,0.802336
38.727,0.4289,0.742056
38.9312,0.4387,0.719626
39.1358,0.4509,0.713551
39.3398,0.4576,0.699533
39.5444,0.4668,0.676636
39.7459,0.4796,0.656542
39.9516,0.49,0.614019
40.155,0.4991,0.636449
40.2078,0.5004,0.576636
40.4144,0.5095,0.602336
40.6185,0.5187,0.593925
40.8226,0.5297,0.591121
41.0264,0.5364,0.579439
41.2284,0.5474,0.53972
41.4341,0.5602,0.556542
41.6387,0.57,0.562617
41.8432,0.5804,0.545327
42.0471,0.5908,0.568224
42.2483,0.6024,0.511215
42.4542,0.6116,0.502336
42.6585,0.6232,0.530841
42.8631,0.6323,0.493925
43.0674,0.6421,0.528037
43.2719,0.6531,0.476636
43.4737,0.6629,0.465421
43.6784,0.6745,0.530841
43.8836,0.6855,0.493925
44.0874,0.691,0.516822
44.292,0.7056,0.462617
44.4964,0.7136,0.450935
44.6982,0.7209,0.496729
44.9035,0.7331,0.48271
45.1084,0.7429,0.48271
45.3122,0.7551,0.450935
45.5169,0.7661,0.442523
45.7207,0.7747,0.488318
45.9234,0.7826,0.459813
46.1278,0.7948,0.485514
46.3317,0.8046,0.462617
46.5368,0.8162,0.414019
46.7412,0.8236,0.457009
46.9457,0.8376,0.459813
47.1483,0.8462,0.471028
47.3519,0.8547,0.457009
47.5573,0.8688,0.371028
47.7618,0.8779,0.473832
47.9658,0.8877,0.457009
48.1703,0.8981,0.465421
48.3725,0.906,0.468224
48.5775,0.9195,0.396729
48.7818,0.9317,0.428037
48.986,0.9396,0.479439
49.1903,0.9488,0.465421
49.3912,0.9598,0.473832
49.5971,0.9745,0.362617
49.8018,0.9781,0.42243
50.0058,0.9916,0.48271
50.2108,0.9989,0.473832
50.2677,0.9995,0.414019
50.4735,0.9885,0.345327
50.674,0.9787,0.336916
50.8781,0.9702,0.28271
51.0793,0.9616,0.245327
51.2802,0.9525,0.23972
51.4837,0.9415,0.259813
51.6852,0.9311,0.257009
51.8866,0.9189,0.285514
52.0876,0.9097,0.242523
52.2916,0.8963,0.228505
52.4932,0.8883,0.248598
52.6937,0.8773,0.254206
52.8975,0.8663,0.234112
53.0994,0.8578,0.188318
53.3004,0.8486,0.185514
53.504,0.8394,0.188318
53.7053,0.8272,0.185514
53.9065,0.8162,0.242523
54.1099,0.8077,0.216822
54.3113,0.7985,0.236916
54.5113,0.79,0.202804
54.7162,0.7771,0.219626
54.917,0.7661,0.228505
55.1181,0.7582,0.2
55.322,0.7478,0.177103
55.5228,0.7374,0.162617
55.7248,0.727,0.177103
55.9279,0.7154,0.193925
56.1297,0.7063,0.193925
56.331,0.6965,0.2
56.5339,0.6873,0.2
56.7355,0.6757,0.188318
56.9371,0.6659,0.197196
57.14,0.6555,0.193925
57.3417,0.6464,0.157009
57.5432,0.636,0.151402
57.7465,0.6281,0.145794
57.948,0.6177,0.159813
58.1494,0.6073,0.177103
58.3528,0.5963,0.179907
58.5543,0.5847,0.174299
58.7556,0.5725,0.177103
58.9586,0.5627,0.157009
59.1603,0.5535,0.18271
59.3615,0.5437,0.168224
59.5627,0.534,0.145794
59.7667,0.5254,0.136916
59.9677,0.5144,0.136916
60.1675,0.5053,0.13972
60.3723,0.493,0.165421
60.5744,0.4851,0.148598
60.775,0.4747,0.145794
60.9781,0.4631,0.151402
61.1791,0.4515,0.145794
61.3806,0.4429,0.125701
61.5846,0.4338,0.120093
61.7862,0.4246,0.097196
61.9873,0.413,0.1
62.19,0.4032,0.091589
62.3923,0.3959,0.074299
62.5934,0.3818,0.079907
62.7963,0.3745,0.034112
62.9986,0.3641,0.014486
63.1997,0.3543,-0.002804
63.4029,0.3427,-0.048598
63.6048,0.3311,-0.085514
63.806,0.3244,-0.142523
64.009,0.3134,-0.254206
64.2108,0.3049,-0.342523
64.4108,0.2933,-0.431308
64.6126,0.2847,-0.548131
64.816,0.2743,-0.645327
65.0182,0.2609,-0.728037
65.2189,0.2517,-0.813551
65.4229,0.2407,-0.890654
65.624,0.2315,-0.939252
65.8253,0.2218,-0.964953
66.0284,0.2126,-0.990654
66.2302,0.2041,-1.036449
66.4313,0.1924,-1.02757
66.6349,0.1808,-1.021963
66.8362,0.1747,-0.996262
67.0374,0.1613,-0.990654
67.2414,0.1509,-0.96215
67.4421,0.1424,-0.950467
67.6436,0.1326,-0.928037
67.8472,0.1204,-0.924766
68.0496,0.1124,-0.885047
68.25,0.1026,-0.88785
68.4532,0.0923,-0.882243
68.655,0.0794,-0.856542
68.8554,0.0739,-0.853738
69.0595,0.0623,-0.830841
69.2613,0.0519,-0.816355
69.4623,0.044,-0.790654
69.6655,0.0318,-0.785047
69.8672,0.0214,-0.773832
70.0683,0.0098,-0.773832
70.2714,0.0006,-0.748131
70.3576,0.0018,-0.739252
70.5636,0.0128,-0.653738
70.7675,0.0226,-0.625234
70.9716,0.0305,-0.599533
71.1743,0.044,-0.573832
71.3787,0.0525,-0.562617
71.5829,0.0605,-0.542523
71.7878,0.0703,-0.511215
71.9915,0.0813,-0.493925
72.1967,0.0941,-0.493925
72.399,0.1039,-0.471028
72.6041,0.113,-0.450935
72.8084,0.1222,-0.419626
73.0119,0.1307,-0.388318
73.2172,0.146,-0.393925
73.4185,0.1515,-0.38271
73.6233,0.1625,-0.336916
73.8293,0.1741,-0.316822
74.0325,0.1833,-0.285514
74.237,0.1961,-0.259813
74.4416,0.2053,-0.219626
74.6435,0.2144,-0.125701
74.8481,0.2254,-0.074299
75.0519,0.234,0.011215
75.2573,0.2444,0.105607
75.4615,0.2554,0.174299
75.6659,0.2633,0.305607
75.8682,0.2743,0.450935
76.0725,0.2853,0.548131
76.2773,0.2945,0.619626
76.482,0.3067,0.716355
76.6861,0.3159,0.790654
76.8904,0.3256,0.82243
77.0917,0.3354,0.86215
77.2976,0.3476,0.84486
77.5017,0.3568,0.836449
77.7066,0.366,0.850935
77.91,0.3763,0.816355
78.1114,0.3843,0.82243
78.3182,0.3935,0.76215
78.5224,0.4087,0.750935
78.7266,0.4179,0.750935
78.9309,0.4252,0.716355
79.1349,0.4368,0.710748
79.3396,0.4484,0.676636
79.5423,0.4594,0.625234
79.747,0.4668,0.63972
79.9507,0.4784,0.633645
80.1548,0.4869,0.616822
80.3598,0.4967,0.599533
